periode_data;jumlah_penumpang_transjakarta;tanggal
202308;1009442;1
202308;1000587;2
202308;1002236;3
202308;979014;4
202308;670806;5
202308;628885;6
202308;1006666;7
202308;1011406;8
202308;1000208;9
202308;991508;10
202308;982905;11
202308;676818;12
202308;597413;13
202308;1008471;14
202308;1011261;15
202308;989925;16
202308;535537;17
202308;941749;18
202308;625534;19
202308;498446;20
202308;433517;21
202308;418970;22
202308;416837;23
202308;409463;24
202308;408345;25
202308;282422;26
202308;246739;27
202308;420126;28
202308;422024;29
202308;430748;30
202308;417971;31
202310;650239;1
202310;1083284;2
202310;1105891;3
202310;1100992;4
202310;1102279;5
202310;1087623;6
202310;725319;7
202310;630556;8
202310;1100382;9
202310;1109216;10
202310;1107503;11
202310;1103250;12
202310;1093067;13
202310;727497;14
202309;1094329;19
202309;1101370;20
202309;1090495;21
202309;1081846;22
202309;742942;23
202309;611442;24
202309;1100966;25
202309;1105993;26
202309;1109120;27
202309;615710;28
202309;1043002;29
202309;730363;30
202310;635855;15
202310;1107316;16
202310;1128713;17
202310;1121625;18
202310;1110376;19
202310;1097821;20
202310;721052;21
202310;629687;22
202310;1104758;23
202310;1120393;24
202310;1107625;25
202310;1111359;26
202310;1097914;27
202310;748153;28
202310;633768;29
202302;814881;1
202302;818742;2
202302;819001;3
202302;556834;4
202302;488204;5
202302;825070;6
202302;832484;7
202302;833095;8
202302;831869;9
202302;828212;10
202302;510122;11
202302;422854;12
202302;835890;13
202302;840872;14
202302;846249;15
202302;827555;16
202302;831455;17
202302;510507;18
202302;472914;19
202302;849058;20
202302;847360;21
202302;857541;22
202302;839067;23
202302;796438;24
202302;538248;25
202302;434772;26
202302;816398;27
202310;1109764;30
202310;1121596;31
202312;1127659;1
202311;1117922;1
202311;1121811;2
202311;1101969;3
202311;735079;4
202311;642921;5
202311;1121028;6
202311;1130181;7
202311;1128956;8
202311;1124007;9
202311;1101730;10
202311;748574;11
202311;653803;12
202311;1135364;13
202311;1146542;14
202311;1132691;15
202311;1131441;16
202311;1126115;17
202311;744568;18
202311;654569;19
202311;1146384;20
202311;1149804;21
202311;1171288;22
202311;1145343;23
202311;1118527;24
202311;698469;25
202311;642518;26
202311;1147858;27
202311;1153413;28
202311;1158450;29
202311;1140648;30
202312;769649;2
202312;662120;3
202312;1149169;4
202312;1174098;5
202312;1167902;6
202312;1164122;7
202312;1123681;8
202312;781721;9
202312;674405;10
202312;1151083;11
202312;1156065;12
202303;55942;1
202303;24204;2
202303;251365;3
202303;264137;4
202303;230435;5
202303;414003;6
202303;407278;7
202303;411878;8
202303;430429;9
202303;394506;10
202303;270281;11
202303;234304;12
202303;419100;13
202303;437186;14
202303;403209;15
202303;411942;16
202303;392576;17
202303;281295;18
202303;246132;19
202303;413469;20
202303;425202;21
202303;237001;22
202303;217789;23
202303;331433;24
202303;190316;25
202303;188906;26
202303;420975;27
202303;387151;28
202303;392595;29
202303;377990;30
202303;385400;31
202306;248240;1
202306;280427;2
202306;265902;3
202306;232667;4
202306;399224;5
202306;399423;6
202306;406281;7
202306;403579;8
202306;400288;9
202306;271681;10
202306;237994;11
202306;409206;12
202306;410297;13
202306;412628;14
202306;403973;15
202306;372722;16
202306;272844;17
202306;245111;18
202306;406081;19
202306;423167;20
202306;414006;21
202306;471272;22
202306;403924;23
202306;296045;24
202306;255095;25
202306;405495;26
202306;404368;27
202306;282160;28
202306;162363;29
202306;268616;30
202301;363250;1
202301;730984;2
202301;783228;3
202301;798449;4
202301;807905;5
202301;807617;6
202301;533011;7
202301;462270;8
202301;813091;9
202301;813213;10
202301;813605;11
202301;814531;12
202301;819097;13
202301;535942;14
202301;466899;15
202301;811137;16
202301;815885;17
202301;812864;18
202301;811051;19
202301;806414;20
202301;526233;21
202301;472413;22
202301;505072;23
202301;818341;24
202301;811874;25
202301;810325;26
202301;813532;27
202301;487421;28
202301;459960;29
202301;816629;30
202301;816317;31
202304;217669;1
202304;175733;2
202304;390929;3
202304;390498;4
202304;392872;5
202304;385699;6
202304;187926;7
202304;204150;8
202304;181400;9
202304;373158;10
202304;364583;11
202304;379875;12
202304;381208;13
202304;375584;14
202304;246273;15
202304;195161;16
202304;368669;17
202304;335221;18
202304;227004;19
202304;181265;20
202304;131793;21
202304;122443;22
202304;183995;23
202304;202311;24
202304;214362;25
202304;293532;26
202304;322559;27
202304;313386;28
202304;243623;29
202304;241994;30
202305;189308;1
202305;389178;2
202305;391130;3
202305;382684;4
202305;380701;5
202305;255571;6
202305;217454;7
202305;396416;8
202305;398379;9
202305;400652;10
202305;393284;11
202305;383837;12
202305;261201;13
202305;235244;14
202305;396244;15
202305;399077;16
202305;404735;17
202305;220892;18
202305;378441;19
202305;267638;20
202305;244690;21
202305;398998;22
202305;401465;23
202305;400076;24
202305;393110;25
202305;391089;26
202305;266874;27
202305;234523;28
202305;402805;29
202305;404002;30
202305;409625;31
202307;266403;1
202307;262267;2
202307;410750;3
202307;422607;4
202307;425460;5
202307;407207;6
202307;397741;7
202307;305910;8
202307;283412;9
202307;420365;10
202307;424839;11
202307;420454;12
202307;417414;13
202307;406018;14
202307;279789;15
202307;241523;16
202307;408865;17
202307;410957;18
202307;213426;19
202307;411124;20
202307;401104;21
202307;267510;22
202307;228296;23
202307;405764;24
202307;409326;25
202307;410340;26
202307;404754;27
202307;401208;28
202307;286489;29
202307;252302;30
202307;411622;31
202309;1015361;1
202309;695963;2
202309;617558;3
202309;1026591;4
202309;1014345;5
202309;1014851;6
202309;1007231;7
202309;1032009;8
202309;700670;9
202309;621726;10
202309;1065550;11
202309;1078830;12
202309;1074826;13
202309;1070391;14
202309;1064895;15
202309;711037;16
202309;605562;17
202309;1080611;18
202302;851556;28
202312;1151501;13
202312;1143117;14
202312;1131174;15
202312;758456;16
202312;680941;17
202312;1083773;18
202312;1081461;19
202312;1089583;20
202312;1070707;21
202312;1027720;22
202312;749305;23
202312;708769;24
202312;609034;25
202312;735852;26
202312;1012112;27
202312;1010097;28
202312;974703;29
202312;748326;30
202312;660343;31
